1,139
2,131
3,134
4,117
5,153
6,154
7,119
8,123
9,150
10,153
11,138
12,148
13,129
14,178
15,114
16,144
17,150
18,152
19,151
20,170
21,151
22,113
23,127
24,116
25,151
26,144
27,162
28,125
29,118
30,132
31,118
32,160
33,124
34,153
35,131
36,142
37,118
38,149
39,132
40,120
41,164
42,124
43,117
44,105
45,140
46,141
47,145
48,166
49,140
50,105
51,121
52,133
53,127
54,98
55,139
56,119
57,115
58,133
59,124
60,130
61,128
62,138
63,137
64,106
65,129
66,124
67,135
68,113
69,168
70,125
71,96
72,142
73,129
74,141
75,139
76,155
77,107
78,114
79,128
80,132
81,129
82,132
83,158
84,148
85,125
86,155
87,110
88,145
89,143
90,156
91,135
92,127
93,123
94,133
95,129
96,149
97,149
98,140
99,117
100,143
101,128
102,98
103,122
104,143
105,118
106,119
107,122
108,132
109,107
110,122
111,149
112,146
113,98
114,138
115,120
116,138
117,128
118,151
119,104
120,119
121,155
122,106
123,138
124,115
125,152
126,130
127,126
128,119
129,133
130,126
131,159
132,153
133,129
134,117
135,130
136,130
137,129
138,117
139,140
140,149
141,110
142,139
143,122
144,149
145,139
146,198
147,129
148,121
149,97
150,121
151,118
152,158
153,128
154,138
155,127
156,133
157,128
158,160
159,131
160,141
161,113
162,111
163,126
164,112
165,122
166,138
167,132
168,135
169,112
170,99
171,121
172,116
173,135
174,152
175,149
176,97
177,140
178,146
179,119
180,139
181,164
182,163
183,112
184,136
185,130
186,131
187,91
188,156
189,122
190,94
191,125
192,120
193,139
194,132
195,139
196,130
197,117
198,134
199,146
200,125
201,142
202,164
203,139
204,137
205,135
206,152
207,137
208,134
209,139
210,132
211,102
212,161
213,144
214,129
215,118
216,142
217,127
218,115
219,141
220,133
221,121
222,124
223,143
224,124
225,115
226,133
227,140
228,137
229,132
230,142
231,138
232,111
233,137
234,125
235,143
236,126
237,142
238,126
239,120
240,143
241,109
242,135
243,151
244,180
245,122
246,125
247,122
248,127
249,128
250,97
251,157
252,126
253,117
254,127
255,136
256,152
257,143
258,148
259,141
260,103
261,123
262,124
263,135
264,137
265,171
266,122
267,126
268,146
269,144
270,149
271,159
272,146
273,154
274,143
275,130
276,129
277,136
278,135
279,186
280,135
281,93
282,127
283,129
284,108
285,108
286,157
287,154
288,109
289,143
290,139
291,143
292,144
293,183
294,143
295,122
296,139
297,135
298,130
299,134
300,152
301,140
302,106
303,142
304,177
305,153
306,155
307,181
308,114
309,118
310,143
311,144
312,127
313,129
314,142
315,113
316,125
317,143
318,144
319,137
320,134
321,152
322,141
323,122
324,120
325,144
326,176
327,113
328,126
329,142
330,130
331,129
332,150
333,131
334,138
335,164
336,140
337,123
338,146
339,127
340,145
341,132
342,157
343,135
344,134
345,141
346,133
347,136
348,139
349,170
350,151
351,144
352,142
353,144
354,175
355,142
356,169
357,133
358,144
359,101
360,123
361,114
362,121
363,150
364,122
365,120
